word,length,freq,log_freq,concreteness,pos
steps,5,"19,058",9.855,4.39,NN|VB
tired,5,"19,063",9.856,3,VB|JJ
bird,4,"19,070",9.856,5,NN
medium,6,"19,072",9.856,3,NN
murder,6,"19,075",9.856,3.61,NN|VB
eastern,7,"19,095",9.857,3.11,JJ|NN
spot,4,"19,103",9.858,4.21,NN|VB
crash,5,"19,106",9.858,3.79,NN|VB
organ,5,"19,107",9.858,4.77,NN
bigger,6,"19,124",9.859,3.53,JJ
husband,7,"19,172",9.861,4.11,NN|VB
motion,6,"19,183",9.862,3.8,NN|VB
iron,4,"19,187",9.862,4.59,NN|VB|JJ
wave,4,"19,212",9.863,4.55,NN|VB
empty,5,"19,261",9.866,3.43,JJ|VB|NN
fallen,6,"19,300",9.868,3.53,VB|JJ
yellow,6,"19,319",9.869,4.3,JJ|NN|VB
rose,4,"19,326",9.869,4.9,VB|NN|JJ
push,4,"19,347",9.87,4.21,VB|NN
bridge,6,"19,356",9.871,4.97,NN|VB
tight,5,"19,366",9.871,3.87,JJ|RB
wheel,5,"19,368",9.871,4.86,NN|VB
pointed,7,"19,379",9.872,3.57,VB|JJ
dry,3,"19,382",9.872,3.77,JJ|VB|RB|NN
factory,7,"19,414",9.874,4.76,NN
acts,4,"19,423",9.874,3.29,NN|VB
spleen,6,"19,535",9.88,4.7,NN
miller,6,"19,538",9.88,3.88,NN
rod,3,"19,565",9.881,4.43,NN
pattern,7,"19,583",9.882,3.92,NN
herself,7,"19,586",9.883,3,minor
storage,7,"19,600",9.883,3.47,NN
font,4,"19,610",9.884,3.93,NN
fellow,6,"19,637",9.885,3.67,NN|JJ
shut,4,"19,700",9.888,3.38,VB|NN
trial,5,"19,700",9.888,3.07,NN
panel,5,"19,722",9.889,4.26,NN
weapon,6,"19,739",9.89,4.76,NN
core,4,"19,755",9.891,3.96,NN|JJ|VB
mix,3,"19,759",9.891,3.82,NN|VB
measure,7,"19,777",9.892,3.59,NN|VB
taste,5,"19,781",9.892,4.07,NN|VB
sky,3,"19,795",9.893,4.45,NN
storm,5,"19,846",9.896,4.7,NN|VB
leaves,6,"19,852",9.896,4.78,VB
drink,5,"19,872",9.897,4.76,VB|NN
sir,3,"19,872",9.897,3.1,NN|minor
kick,4,"19,877",9.897,4.33,NN|VB
circle,6,"19,887",9.898,4.44,NN|VB
profit,6,"19,954",9.901,3.07,NN|VB
alive,5,"19,998",9.903,3.14,JJ
trading,7,"19,998",9.903,3.14,NN|VB
August,6,"20,056",9.906,3.04,NN
click,5,"20,057",9.906,4.03,NN|VB
lotus,5,"20,082",9.908,4.35,NN
feed,4,"20,084",9.908,4.17,NN|VB
reverse,7,"20,132",9.91,3.38,NN|VB
avenue,6,"20,151",9.911,4,NN
edit,4,"20,183",9.913,3.28,VB|NN
snow,4,"20,209",9.914,4.85,NN|VB
pacific,7,"20,324",9.92,3.79,NN|JJ
hotel,5,"20,364",9.922,4.93,NN
arm,3,"20,427",9.925,4.96,NN|VB
